symbol,company_name,sector,model_1,model_2,loss_type,sample_size,mean_loss_differential,dm_statistic,raw_p_value,holm_adjusted_p_value,reject,available,unavailable_reason,hac_lag,forecast_horizon,hln_correction_factor,holm_family_size,formal_run_id,formal_cutoff,formal_git_sha,supplementary_package_id,evidence_source
BPI,Bank of the Philippine Islands,Financials,lstm,naive,absolute_error,246,-0.011373719520743567,-0.5105747355111309,0.6101085923528454,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,lag_reg,arima,squared_error,246,0.26836443124589554,0.2881106843807358,0.7735055949526116,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,lag_reg,lstm,squared_error,246,0.6221870783252827,0.21802519154766,0.8275909667831639,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,lag_reg,naive,squared_error,246,0.26836443124589554,0.2881106843807358,0.7735055949526116,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,arima,lstm,squared_error,246,0.3538226470793871,0.10256761001756036,0.9183900503861495,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,arima,naive,squared_error,246,0.0,,,,false,false,zero or degenerate HAC long-run variance,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,lstm,naive,squared_error,246,-0.3538226470793871,-0.10256761001756036,0.9183900503861495,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,lag_reg,arima,absolute_error,246,0.0,0.0,1.0,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,lag_reg,lstm,absolute_error,246,0.10521162174023718,2.0003353271685222,0.04656777246392827,0.27940663478356964,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,lag_reg,naive,absolute_error,246,0.0,0.0,1.0,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,arima,lstm,absolute_error,246,0.10521162174023718,1.7558723140282708,0.08035978242098521,0.401798912104926,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,arima,naive,absolute_error,246,0.0,,,,false,false,zero or degenerate HAC long-run variance,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
GLO,"Globe Telecom, Inc.",Services,lstm,naive,absolute_error,246,-0.10521162174023718,-1.7558723140282708,0.08035978242098521,0.401798912104926,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
ICT,"International Container Terminal Services, Inc.",Services,lag_reg,arima,squared_error,246,42.83845462427236,1.1244324020815737,0.26193007946408986,0.972510815520508,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
ICT,"International Container Terminal Services, Inc.",Services,lag_reg,lstm,squared_error,246,43.831821671916664,1.170025275144958,0.243127703880127,0.972510815520508,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
ICT,"International Container Terminal Services, Inc.",Services,lag_reg,naive,squared_error,246,29.826985832403327,0.8000285694150108,0.42446927307593957,0.972510815520508,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
ICT,"International Container Terminal Services, Inc.",Services,arima,lstm,squared_error,246,0.9933670476443212,0.2711748158617925,0.786484918619954,0.972510815520508,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
